"Central Sphere","State","Zone","District","Class of Employment","Category/Grade","Designation/Skill Set","Effective_from (dd/mm/yyyy)","Basic /day","HRA/day","VDA /day","Special Allowance/Day","Daily Rate","Basic /month","HRA/month","VDA /month","Special Allowance/month","Monthly Rate"
"","Jammu and Kashmir","","","","Unskilled","","01.11.2017","","","",""
"","Jammu and Kashmir","","","","Skilled","","01.11.2017","","","",""
"","Jammu and Kashmir","","","","Highly Skilled","","01.11.2017","","","",""
"","Jammu and Kashmir","","","","Administration","","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Gravel Spreader","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Belder","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Beater Women","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Belowman","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Chainman","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Boat Man","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Bucket Man","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Stone Carrier","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Water Carrier","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Cartman","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Concrete Hand Mixer","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Driver (bullock)","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Shuttlers","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Cracker","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Excavator","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Greaser","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Daffadar","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Flag Man","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Gangman","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Handle Man","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Jumper Man","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Khalssi","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Lamp Man","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Petrol Man","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Searcher","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Signal Man","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Slinger","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Breaker","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Checking","01.11.2017","","","",""
"","Jammu and Kashmir","","","Construction Industry","Unskilled","Daftary","01.11.2017","","","",""
