"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill_Set","Effective_from","conversion","Basic/day","HRA/day","VDA/day","Tea-food-&-lodging_allowance/day","Special_Allowance/Day","Daily_Rate","Basic/month","HRA/month","VDA/month","Tea-food-&-lodging_allowance/month","Special_Allowance/month","Monthly_Rate","COE Keywords"
"Chhattisgarh","Zone II","","Pharmaceutical Manufacturers","Unskilled","","1/3/121",26,310,"",53.85,"","",363.85,8060,"",1400,"","",9460,"Medicine Shop medical"
"Chhattisgarh","Zone I","","Pharmaceutical Manufacturers","Highly Skilled","","1/3/121",26,405,"",53.85,"","",458.85,10530,"",1400,"","",11930,"Medicine Shop medical"
"Chhattisgarh","Zone I","","Pharmaceutical Manufacturers","Skilled","","1/3/121",26,375,"",53.85,"","",428.85,9750,"",1400,"","",11150,"Medicine Shop medical"
"Chhattisgarh","Zone I","","Pharmaceutical Manufacturers","Semi Skilled","","1/3/121",26,345,"",53.85,"","",398.85,8970,"",1400,"","",10370,"Medicine Shop medical"
"Chhattisgarh","Zone I","","Pharmaceutical Manufacturers","Unskilled","","1/3/121",26,320,"",53.85,"","",373.85,8320,"",1400,"","",9720,"Medicine Shop medical"
"Chhattisgarh","Zone III","","Oil Mills","Highly Skilled","","1/3/121",26,385,"",53.85,"","",438.85,10010,"",1400,"","",11410,0
"Chhattisgarh","Zone III","","Oil Mills","Skilled","","1/3/121",26,355,"",53.85,"","",408.85,9230,"",1400,"","",10630,0
"Chhattisgarh","Zone III","","Oil Mills","Semi Skilled","","1/3/121",26,325,"",53.85,"","",378.85,8450,"",1400,"","",9850,0
"Chhattisgarh","Zone III","","Oil Mills","Unskilled","","1/3/121",26,300,"",53.85,"","",353.85,7800,"",1400,"","",9200,0
"Chhattisgarh","Zone II","","Oil Mills","Highly Skilled","","1/3/121",26,395,"",53.85,"","",448.85,10270,"",1400,"","",11670,0
"Chhattisgarh","Zone II","","Oil Mills","Skilled","","1/3/121",26,365,"",53.85,"","",418.85,9490,"",1400,"","",10890,0
"Chhattisgarh","Zone II","","Oil Mills","Semi Skilled","","1/3/121",26,335,"",53.85,"","",388.85,8710,"",1400,"","",10110,0
"Chhattisgarh","Zone II","","Oil Mills","Unskilled","","1/3/121",26,310,"",53.85,"","",363.85,8060,"",1400,"","",9460,0
"Chhattisgarh","Zone I","","Oil Mills","Highly Skilled","","1/3/121",26,405,"",53.85,"","",458.85,10530,"",1400,"","",11930,0
"Chhattisgarh","Zone I","","Oil Mills","Skilled","","1/3/121",26,375,"",53.85,"","",428.85,9750,"",1400,"","",11150,0
"Chhattisgarh","Zone I","","Oil Mills","Semi Skilled","","1/3/121",26,345,"",53.85,"","",398.85,8970,"",1400,"","",10370,0
"Chhattisgarh","Zone I","","Oil Mills","Unskilled","","1/3/121",26,320,"",53.85,"","",373.85,8320,"",1400,"","",9720,0
"Chhattisgarh","Zone III","","Solvent Plant and Refinery","Highly Skilled","","1/3/121",26,385,"",53.85,"","",438.85,10010,"",1400,"","",11410,0
"Chhattisgarh","Zone III","","Solvent Plant and Refinery","Skilled","","1/3/121",26,355,"",53.85,"","",408.85,9230,"",1400,"","",10630,0
"Chhattisgarh","Zone III","","Solvent Plant and Refinery","Semi Skilled","","1/3/121",26,325,"",53.85,"","",378.85,8450,"",1400,"","",9850,0
"Chhattisgarh","Zone III","","Solvent Plant and Refinery","Unskilled","","1/3/121",26,300,"",53.85,"","",353.85,7800,"",1400,"","",9200,0
"Chhattisgarh","Zone II","","Solvent Plant and Refinery","Highly Skilled","","1/3/121",26,395,"",53.85,"","",448.85,10270,"",1400,"","",11670,0
"Chhattisgarh","Zone II","","Solvent Plant and Refinery","Skilled","","1/3/121",26,365,"",53.85,"","",418.85,9490,"",1400,"","",10890,0
"Chhattisgarh","Zone II","","Solvent Plant and Refinery","Semi Skilled","","1/3/121",26,335,"",53.85,"","",388.85,8710,"",1400,"","",10110,0
"Chhattisgarh","Zone II","","Solvent Plant and Refinery","Unskilled","","1/3/121",26,310,"",53.85,"","",363.85,8060,"",1400,"","",9460,0
"Chhattisgarh","Zone I","","Solvent Plant and Refinery","Highly Skilled","","1/3/121",26,405,"",53.85,"","",458.85,10530,"",1400,"","",11930,0
"Chhattisgarh","Zone I","","Solvent Plant and Refinery","Skilled","","1/3/121",26,375,"",53.85,"","",428.85,9750,"",1400,"","",11150,0
"Chhattisgarh","Zone I","","Solvent Plant and Refinery","Semi Skilled","","1/3/121",26,345,"",53.85,"","",398.85,8970,"",1400,"","",10370,0
"Chhattisgarh","Zone I","","Solvent Plant and Refinery","Unskilled","","1/3/121",26,320,"",53.85,"","",373.85,8320,"",1400,"","",9720,0
"Chhattisgarh","Zone III","","Petrol Pump","Highly Skilled","","1/3/121",26,385,"",53.85,"","",438.85,10010,"",1400,"","",11410,0
"Chhattisgarh","Zone III","","Petrol Pump","Skilled","","1/3/121",26,355,"",53.85,"","",408.85,9230,"",1400,"","",10630,0
"Chhattisgarh","Zone III","","Petrol Pump","Semi Skilled","","1/3/121",26,325,"",53.85,"","",378.85,8450,"",1400,"","",9850,0
"Chhattisgarh","Zone III","","Petrol Pump","Unskilled","","1/3/121",26,300,"",53.85,"","",353.85,7800,"",1400,"","",9200,0
"Chhattisgarh","Zone II","","Petrol Pump","Highly Skilled","","1/3/121",26,395,"",53.85,"","",448.85,10270,"",1400,"","",11670,0
"Chhattisgarh","Zone II","","Petrol Pump","Skilled","","1/3/121",26,365,"",53.85,"","",418.85,9490,"",1400,"","",10890,0
"Chhattisgarh","Zone II","","Petrol Pump","Semi Skilled","","1/3/121",26,335,"",53.85,"","",388.85,8710,"",1400,"","",10110,0
"Chhattisgarh","Zone II","","Petrol Pump","Unskilled","","1/3/121",26,310,"",53.85,"","",363.85,8060,"",1400,"","",9460,0
"Chhattisgarh","Zone I","","Petrol Pump","Highly Skilled","","1/3/121",26,405,"",53.85,"","",458.85,10530,"",1400,"","",11930,0
"Chhattisgarh","Zone I","","Petrol Pump","Skilled","","1/3/121",26,375,"",53.85,"","",428.85,9750,"",1400,"","",11150,0
"Chhattisgarh","Zone I","","Petrol Pump","Semi Skilled","","1/3/121",26,345,"",53.85,"","",398.85,8970,"",1400,"","",10370,0
"Chhattisgarh","Zone I","","Petrol Pump","Unskilled","","1/3/121",26,320,"",53.85,"","",373.85,8320,"",1400,"","",9720,0
"Chhattisgarh","Zone III","","Hospitals, Nursing Homes, Clinics And Dispensaries","Highly Skilled","","1/3/121",26,385,"",53.85,"","",438.85,10010,"",1400,"","",11410,0
"Chhattisgarh","Zone III","","Hospitals, Nursing Homes, Clinics And Dispensaries","Skilled","","1/3/121",26,355,"",53.85,"","",408.85,9230,"",1400,"","",10630,0
"Chhattisgarh","Zone III","","Hospitals, Nursing Homes, Clinics And Dispensaries","Semi Skilled","","1/3/121",26,325,"",53.85,"","",378.85,8450,"",1400,"","",9850,0
"Chhattisgarh","Zone III","","Hospitals, Nursing Homes, Clinics And Dispensaries","Unskilled","","1/3/121",26,300,"",53.85,"","",353.85,7800,"",1400,"","",9200,0
"Chhattisgarh","Zone II","","Hospitals, Nursing Homes, Clinics And Dispensaries","Highly Skilled","","1/3/121",26,395,"",53.85,"","",448.85,10270,"",1400,"","",11670,0
"Chhattisgarh","Zone II","","Hospitals, Nursing Homes, Clinics And Dispensaries","Skilled","","1/3/121",26,365,"",53.85,"","",418.85,9490,"",1400,"","",10890,0
"Chhattisgarh","Zone II","","Hospitals, Nursing Homes, Clinics And Dispensaries","Semi Skilled","","1/3/121",26,335,"",53.85,"","",388.85,8710,"",1400,"","",10110,0
"Chhattisgarh","Zone II","","Hospitals, Nursing Homes, Clinics And Dispensaries","Unskilled","","1/3/121",26,310,"",53.85,"","",363.85,8060,"",1400,"","",9460,0
"Chhattisgarh","Zone I","","Hospitals, Nursing Homes, Clinics And Dispensaries","Highly Skilled","","1/3/121",26,405,"",53.85,"","",458.85,10530,"",1400,"","",11930,0
"Chhattisgarh","Zone I","","Hospitals, Nursing Homes, Clinics And Dispensaries","Skilled","","1/3/121",26,375,"",53.85,"","",428.85,9750,"",1400,"","",11150,0
"Chhattisgarh","Zone I","","Hospitals, Nursing Homes, Clinics And Dispensaries","Semi Skilled","","1/3/121",26,345,"",53.85,"","",398.85,8970,"",1400,"","",10370,0
"Chhattisgarh","Zone I","","Hospitals, Nursing Homes, Clinics And Dispensaries","Unskilled","","1/3/121",26,320,"",53.85,"","",373.85,8320,"",1400,"","",9720,0
"Chhattisgarh","Zone III","","Private Educational Institutes","Highly Skilled","","1/3/121",26,385,"",53.85,"","",438.85,10010,"",1400,"","",11410,"Teaching School Collage"
"Chhattisgarh","Zone III","","Private Educational Institutes","Skilled","","1/3/121",26,355,"",53.85,"","",408.85,9230,"",1400,"","",10630,"Teaching School Collage"
"Chhattisgarh","Zone III","","Private Educational Institutes","Semi Skilled","","1/3/121",26,325,"",53.85,"","",378.85,8450,"",1400,"","",9850,"Teaching School Collage"
"Chhattisgarh","Zone III","","Private Educational Institutes","Unskilled","","1/3/121",26,300,"",53.85,"","",353.85,7800,"",1400,"","",9200,"Teaching School Collage"
"Chhattisgarh","Zone II","","Private Educational Institutes","Highly Skilled","","1/3/121",26,395,"",53.85,"","",448.85,10270,"",1400,"","",11670,"Teaching School Collage"
"Chhattisgarh","Zone II","","Private Educational Institutes","Skilled","","1/3/121",26,365,"",53.85,"","",418.85,9490,"",1400,"","",10890,"Teaching School Collage"
"Chhattisgarh","Zone II","","Private Educational Institutes","Semi Skilled","","1/3/121",26,335,"",53.85,"","",388.85,8710,"",1400,"","",10110,"Teaching School Collage"
"Chhattisgarh","Zone II","","Private Educational Institutes","Unskilled","","1/3/121",26,310,"",53.85,"","",363.85,8060,"",1400,"","",9460,"Teaching School Collage"
"Chhattisgarh","Zone I","","Private Educational Institutes","Highly Skilled","","1/3/121",26,405,"",53.85,"","",458.85,10530,"",1400,"","",11930,"Teaching School Collage"
"Chhattisgarh","Zone I","","Private Educational Institutes","Skilled","","1/3/121",26,375,"",53.85,"","",428.85,9750,"",1400,"","",11150,"Teaching School Collage"
"Chhattisgarh","Zone I","","Private Educational Institutes","Semi Skilled","","1/3/121",26,345,"",53.85,"","",398.85,8970,"",1400,"","",10370,"Teaching School Collage"
"Chhattisgarh","Zone I","","Private Educational Institutes","Unskilled","","1/3/121",26,320,"",53.85,"","",373.85,8320,"",1400,"","",9720,"Teaching School Collage"
"Chhattisgarh","Zone III","","Shops & Commercial Establishments","Highly Skilled","","1/3/121",26,385,"",53.85,"","",438.85,10010,"",1400,"","",11410,0
"Chhattisgarh","Zone III","","Shops & Commercial Establishments","Skilled","","1/3/121",26,355,"",53.85,"","",408.85,9230,"",1400,"","",10630,0
"Chhattisgarh","Zone III","","Shops & Commercial Establishments","Semi Skilled","","1/3/121",26,325,"",53.85,"","",378.85,8450,"",1400,"","",9850,0
"Chhattisgarh","Zone III","","Shops & Commercial Establishments","Unskilled","","1/3/121",26,300,"",53.85,"","",353.85,7800,"",1400,"","",9200,0
"Chhattisgarh","Zone II","","Shops & Commercial Establishments","Highly Skilled","","1/3/121",26,395,"",53.85,"","",448.85,10270,"",1400,"","",11670,0
"Chhattisgarh","Zone II","","Shops & Commercial Establishments","Skilled","","1/3/121",26,365,"",53.85,"","",418.85,9490,"",1400,"","",10890,0
"Chhattisgarh","Zone II","","Shops & Commercial Establishments","Semi Skilled","","1/3/121",26,335,"",53.85,"","",388.85,8710,"",1400,"","",10110,0
"Chhattisgarh","Zone II","","Shops & Commercial Establishments","Unskilled","","1/3/121",26,310,"",53.85,"","",363.85,8060,"",1400,"","",9460,0
"Chhattisgarh","Zone I","","Shops & Commercial Establishments","Highly Skilled","","1/3/121",26,405,"",53.85,"","",458.85,10530,"",1400,"","",11930,0
"Chhattisgarh","Zone I","","Shops & Commercial Establishments","Skilled","","1/3/121",26,375,"",53.85,"","",428.85,9750,"",1400,"","",11150,0
