"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill_Set","Effective_from","conversion","Basic/day","HRA/day","VDA/day","Tea-food-&-lodging_allowance/day","Special_Allowance/Day","Daily_Rate","Basic/month","HRA/month","VDA/month","Tea-food-&-lodging_allowance/month","Special_Allowance/month","Monthly_Rate","COE Keywords"
"Uttarakhand","Zone II","","Star Hotels","Highly Skilled","Senior Stenographer","1/3/124",26,"568.19","","","","","568.19",14773,"","","","",14773,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone I","","Star Hotels","Highly Skilled","Senior Stenographer","1/3/124",26,"618.12","","","","","618.12",16071,"","","","",16071,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone II","","Star Hotels","Highly Skilled","Senior Accountant","1/3/124",26,"568.19","","","","","568.19",14773,"","","","",14773,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone I","","Star Hotels","Highly Skilled","Senior Accountant","1/3/124",26,"618.12","","","","","618.12",16071,"","","","",16071,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone II","","Star Hotels","Highly Skilled","Head Accountant","1/3/124",26,"568.19","","","","","568.19",14773,"","","","",14773,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone I","","Star Hotels","Highly Skilled","Head Accountant","1/3/124",26,"618.12","","","","","618.12",16071,"","","","",16071,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone II","","Star Hotels","Highly Skilled","Head Store Keeper","1/3/124",26,"568.19","","","","","568.19",14773,"","","","",14773,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone I","","Star Hotels","Highly Skilled","Head Store Keeper","1/3/124",26,"618.12","","","","","618.12",16071,"","","","",16071,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone II","","Star Hotels","Highly Skilled","Head Cashier","1/3/124",26,"568.19","","","","","568.19",14773,"","","","",14773,"Accommodation, Eating House Cantin Accommodation"
"Uttarakhand","Zone I","","Star Hotels","Highly Skilled","Head Cashier","1/3/124",26,"618.12","","","","","618.12",16071,"","","","",16071,"Accommodation, Eating House Cantin Accommodation"
