"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill Set","__effective_from__","conversion","Basic/day","HRA/day","VDA/day","Food and lodging","Special Allowance/Day","Daily Rate","Basic /month","HRA/month","VDA /month","Food and lodging","Special Allowance/month","Monthly Rate"
"Goa","","","Cashew Processing","Skilled","Driver","01.10.2020",26,423,"",57,"","",480,"10998.00","","1482.00","","","12480.00"
"Goa","","","Cashew Processing","Skilled","Store Keeper","01.10.2020",26,423,"",57,"","",480,"10998.00","","1482.00","","","12480.00"
"Goa","","","Cashew Processing","Skilled","Cashier","01.10.2020",26,423,"",57,"","",480,"10998.00","","1482.00","","","12480.00"
"Goa","","","Cashew Processing","Skilled","Typist","01.10.2020",26,423,"",57,"","",480,"10998.00","","1482.00","","","12480.00"
"Goa","","","Cashew Processing","Skilled","Clerk","01.10.2020",26,423,"",57,"","",480,"10998.00","","1482.00","","","12480.00"
"Goa","","","Cashew Processing","Skilled","Supervisor","01.10.2020",26,423,"",57,"","",480,"10998.00","","1482.00","","","12480.00"
"Goa","","","Cashew Processing","Unskilled","Watchman","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Peon","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","General workers","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Bag Carrier","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Stencillor","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Carpenter","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Soaker","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Dryer","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Soldere","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Packer","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Roasting Worker","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Unskilled","Grader","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
"Goa","","","Cashew Processing","Skilled","","01.10.2020",26,423,"",57,"","",480,"10998.00","","1482.00","","","12480.00"
"Goa","","","Cashew Processing","Unskilled","","01.10.2020",26,307,"",57,"","",364,"7982.00","","1482.00","","","9464.00"
