"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill Set","__effective_from__","conversion","Basic/day","HRA/day","VDA/day","Food and lodging","Special Allowance/Day","Daily Rate","Basic /month","HRA/month","VDA /month","Food and lodging","Special Allowance/month","Monthly Rate"
"Nagaland","","","Construction/Maintenance of Roads or in Building Operations*","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Construction/Maintenance of Roads or in Building Operations*","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Construction/Maintenance of Roads or in Building Operations*","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Extraction & Management of Underground Water","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Extraction & Management of Underground Water","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Extraction & Management of Underground Water","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Water Supply, Sewage & Extraction &Waste Management","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Water Supply, Sewage & Extraction &Waste Management","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Water Supply, Sewage & Extraction &Waste Management","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Khadi & Village Industries","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Khadi & Village Industries","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Khadi & Village Industries","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Forest and Forestry","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Forest and Forestry","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Forest and Forestry","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Sericulture","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Sericulture","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Sericulture","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Horticulture","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Horticulture","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Horticulture","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Agriculture","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Agriculture","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Agriculture","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Veterinary &Animal Husbandry","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Veterinary &Animal Husbandry","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Veterinary &Animal Husbandry","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Information & Communication","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Information & Communication","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Information & Communication","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Accommodation &Food Service Activities","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Accommodation &Food Service Activities","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Accommodation &Food Service Activities","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Clinical Nursing Home Establishment","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Clinical Nursing Home Establishment","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Clinical Nursing Home Establishment","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Hospital","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Hospital","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Hospital","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Mining & Quarrying","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Mining & Quarrying","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Mining & Quarrying","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Transportation & Storage","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Transportation & Storage","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Transportation & Storage","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Plantation activities","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Plantation activities","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Plantation activities","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
"Nagaland","","","Shops & Commercial Establishments","Skilled","","12.06.2019",30,"","","","","",235,"","","","","",7050
"Nagaland","","","Shops & Commercial Establishments","Semi Skilled","","12.06.2019",30,"","","","","",210,"","","","","",6300
"Nagaland","","","Shops & Commercial Establishments","Unskilled","","12.06.2019",30,"","","","","",176,"","","","","",5280
