"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill_Set","Effective_from","conversion","Basic/day","HRA/day","VDA/day","Tea-food-&-lodging_allowance/day","Special_Allowance/Day","Daily_Rate","Basic/month","HRA/month","VDA/month","Tea-food-&-lodging_allowance/month","Special_Allowance/month","Monthly_Rate","COE Keywords"
"Maharashtra","","Raigad","Security Services","","Chief Security Officer","1/6/124",26,"587.27","142.46","125.00","","","854.73",15269,3704,3250,"","",22223,"Watchman Guard"
"Maharashtra","","Raigad","Security Services","","Security Officer","1/6/124",26,"569.96","139.00","125.00","","","833.96",14819,3614,3250,"","",21683,"Watchman Guard"
"Maharashtra","","Raigad","Security Services","","Assistant Security Officer","1/6/124",26,"552.65","135.54","125.00","","","813.19",14369,3524,3250,"","",21143,"Watchman Guard"
"Maharashtra","","Raigad","Security Services","","Security Supervisor","1/6/124",26,"544.00","133.81","125.00","","","802.81",14144,3479,3250,"","",20873,"Watchman Guard"
"Maharashtra","","Raigad","Security Services","","Head Guard - Security Services","1/6/124",26,"517.08","128.42","125.00","","","770.50",13444,3339,3250,"","",20033,"Watchman Guard"
"Maharashtra","","Raigad","Security Services","","Security Guard (Male/ Female) - Employment In Security Services","1/6/124",26,"506.50","126.31","125.00","","","757.81",13169,3284,3250,"","",19703,"Watchman Guard"
"Maharashtra","","Gondia","Security Services","","Security Guard (Military Soldier)","1/6/124",26,"511.31","127.27","125.00","","","763.58",13294,3309,3250,"","",19853,"Watchman Guard"
"Maharashtra","","Gondia","Security Services","","Security Supervisor (Military Soldier)","1/6/124",26,"655.92","156.19","125.00","","","937.12",17054,4061,3250,"","",24365,"Watchman Guard"
"Maharashtra","","Gondia","Security Services","","Chief Security Officer","1/6/124",26,"580.15","141.04","125.00","","","846.19",15084,3667,3250,"","",22001,"Watchman Guard"
"Maharashtra","","Gondia","Security Services","","Security Officer","1/6/124",26,"562.85","137.58","125.00","","","825.42",14634,3577,3250,"","",21461,"Watchman Guard"
"Maharashtra","","Gondia","Security Services","","Assistant Security Officer","1/6/124",26,"545.54","134.12","125.00","","","804.65",14184,3487,3250,"","",20921,"Watchman Guard"
"Maharashtra","","Gondia","Security Services","","Security Supervisor","1/6/124",26,"536.88","132.38","125.00","","","794.27",13959,3442,3250,"","",20651,"Watchman Guard"
"Maharashtra","","Gondia","Security Services","","Head Guard - Security Services","1/6/124",26,"509.96","127.00","125.00","","","761.96",13259,3302,3250,"","",19811,"Watchman Guard"
"Maharashtra","","Gondia","Security Services","","Security Guard (Male/ Female) - Employment In Security Services","1/6/124",26,"499.38","124.85","125.00","","","749.23",12984,3246,3250,"","",19480,"Watchman Guard"
"Maharashtra","","Bhandara","Security Services","","Security Guard (Military Soldier)","1/6/124",26,"511.31","127.27","125.00","","","763.58",13294,3309,3250,"","",19853,"Watchman Guard"
"Maharashtra","","Bhandara","Security Services","","Security Supervisor (Military Soldier)","1/6/124",26,"655.92","156.19","125.00","","","937.12",17054,4061,3250,"","",24365,"Watchman Guard"
"Maharashtra","","Bhandara","Security Services","","Chief Security Officer","1/6/124",26,"580.15","141.04","125.00","","","846.19",15084,3667,3250,"","",22001,"Watchman Guard"
"Maharashtra","","Bhandara","Security Services","","Security Officer","1/6/124",26,"562.85","137.58","125.00","","","825.42",14634,3577,3250,"","",21461,"Watchman Guard"
"Maharashtra","","Bhandara","Security Services","","Assistant Security Officer","1/6/124",26,"545.54","134.12","125.00","","","804.65",14184,3487,3250,"","",20921,"Watchman Guard"
"Maharashtra","","Bhandara","Security Services","","Security Supervisor","1/6/124",26,"536.88","132.38","125.00","","","794.27",13959,3442,3250,"","",20651,"Watchman Guard"
"Maharashtra","","Bhandara","Security Services","","Head Guard - Security Services","1/6/124",26,"509.96","127.00","125.00","","","761.96",13259,3302,3250,"","",19811,"Watchman Guard"
"Maharashtra","","Bhandara","Security Services","","Security Guard (Male/ Female) - Employment In Security Services","1/6/124",26,"499.38","124.85","125.00","","","749.23",12984,3246,3250,"","",19480,"Watchman Guard"
"Maharashtra","","Wardha","Security Services","","Security Guard (Military Soldier)","1/6/124",26,"511.31","127.27","125.00","","","763.58",13294,3309,3250,"","",19853,"Watchman Guard"
"Maharashtra","","Wardha","Security Services","","Security Supervisor (Military Soldier)","1/6/124",26,"655.92","156.19","125.00","","","937.12",17054,4061,3250,"","",24365,"Watchman Guard"
"Maharashtra","","Wardha","Security Services","","Chief Security Officer","1/6/124",26,"580.15","141.04","125.00","","","846.19",15084,3667,3250,"","",22001,"Watchman Guard"
"Maharashtra","","Wardha","Security Services","","Security Officer","1/6/124",26,"562.85","137.58","125.00","","","825.42",14634,3577,3250,"","",21461,"Watchman Guard"
"Maharashtra","","Wardha","Security Services","","Assistant Security Officer","1/6/124",26,"545.54","134.12","125.00","","","804.65",14184,3487,3250,"","",20921,"Watchman Guard"
"Maharashtra","","Wardha","Security Services","","Security Supervisor","1/6/124",26,"536.88","132.38","125.00","","","794.27",13959,3442,3250,"","",20651,"Watchman Guard"
"Maharashtra","","Wardha","Security Services","","Head Guard - Security Services","1/6/124",26,"509.96","127.00","125.00","","","761.96",13259,3302,3250,"","",19811,"Watchman Guard"
"Maharashtra","","Wardha","Security Services","","Security Guard (Male/ Female) - Employment In Security Services","1/6/124",26,"499.38","124.85","125.00","","","749.23",12984,3246,3250,"","",19480,"Watchman Guard"
"Maharashtra","","Jalna","Security Services","","Security Officer","1/6/124",26,"558.19","34.15","125.00","","","717.35",14513,888,3250,"","",18651,"Watchman Guard"
"Maharashtra","","Jalna","Security Services","","Security Supervisor","1/6/124",26,"534.12","32.96","125.00","","","692.08",13887,857,3250,"","",17994,"Watchman Guard"
"Maharashtra","","Jalna","Security Services","","Security guard","1/6/124",26,"510.54","31.77","125.00","","","667.31",13274,826,3250,"","",17350,"Watchman Guard"
