"State","Zone","District","Class of Employment","Category/Grade","Designation/Skill Set","__effective_from__","conversion","Basic/day","HRA/day","VDA/day","Food and lodging","Special Allowance/Day","Daily Rate","Basic /month","HRA/month","VDA /month","Food and lodging","Special Allowance/month","Monthly Rate"
"Haryana","","","Wool Shawl and Carpet Maker","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Wool Shawl and Carpet Maker","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Wool Shawl and Carpet Maker","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
"Haryana","","","Wool Shawl and Carpet Maker","Semi Skilled B","","01.07.2021",26,"322.27","","93.42","","",415.693076923077,8379,"",2429.02,"","",10808.02
"Haryana","","","Wool Shawl and Carpet Maker","Semi Skilled A","","01.07.2021",26,"306.92","","88.98","","",395.898461538462,7980,"",2313.36,"","",10293.36
"Haryana","","","Wool Shawl and Carpet Maker","Unskilled","","01.07.2021",26,"292.31","","84.74","","",377.047692307692,7600,"",2203.24,"","",9803.24
"Haryana","","","Cotton Textile Mills","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Cotton Textile Mills","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Cotton Textile Mills","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
"Haryana","","","Cotton Textile Mills","Semi Skilled B","","01.07.2021",26,"322.27","","93.42","","",415.693076923077,8379,"",2429.02,"","",10808.02
"Haryana","","","Cotton Textile Mills","Semi Skilled A","","01.07.2021",26,"306.92","","88.98","","",395.898461538462,7980,"",2313.36,"","",10293.36
"Haryana","","","Cotton Textile Mills","Unskilled","","01.07.2021",26,"292.31","","84.74","","",377.047692307692,7600,"",2203.24,"","",9803.24
"Haryana","","","Tanneries and Leather Manufactory","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Tanneries and Leather Manufactory","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Tanneries and Leather Manufactory","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
"Haryana","","","Tanneries and Leather Manufactory","Semi Skilled B","","01.07.2021",26,"322.27","","93.42","","",415.693076923077,8379,"",2429.02,"","",10808.02
"Haryana","","","Tanneries and Leather Manufactory","Semi Skilled A","","01.07.2021",26,"306.92","","88.98","","",395.898461538462,7980,"",2313.36,"","",10293.36
"Haryana","","","Tanneries and Leather Manufactory","Unskilled","","01.07.2021",26,"292.31","","84.74","","",377.047692307692,7600,"",2203.24,"","",9803.24
"Haryana","","","Soaps & Cosmetics","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Soaps & Cosmetics","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Soaps & Cosmetics","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
"Haryana","","","Soaps & Cosmetics","Semi Skilled B","","01.07.2021",26,"322.27","","93.42","","",415.693076923077,8379,"",2429.02,"","",10808.02
"Haryana","","","Soaps & Cosmetics","Semi Skilled A","","01.07.2021",26,"306.92","","88.98","","",395.898461538462,7980,"",2313.36,"","",10293.36
"Haryana","","","Soaps & Cosmetics","Unskilled","","01.07.2021",26,"292.31","","84.74","","",377.047692307692,7600,"",2203.24,"","",9803.24
"Haryana","","","Tailoring Industry","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Tailoring Industry","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Tailoring Industry","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
"Haryana","","","Tailoring Industry","Semi Skilled B","","01.07.2021",26,"322.27","","93.42","","",415.693076923077,8379,"",2429.02,"","",10808.02
"Haryana","","","Tailoring Industry","Semi Skilled A","","01.07.2021",26,"306.92","","88.98","","",395.898461538462,7980,"",2313.36,"","",10293.36
"Haryana","","","Tailoring Industry","Unskilled","","01.07.2021",26,"292.31","","84.74","","",377.047692307692,7600,"",2203.24,"","",9803.24
"Haryana","","","Saw Mills","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Saw Mills","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Saw Mills","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
"Haryana","","","Saw Mills","Semi Skilled B","","01.07.2021",26,"322.27","","93.42","","",415.693076923077,8379,"",2429.02,"","",10808.02
"Haryana","","","Saw Mills","Semi Skilled A","","01.07.2021",26,"306.92","","88.98","","",395.898461538462,7980,"",2313.36,"","",10293.36
"Haryana","","","Saw Mills","Unskilled","","01.07.2021",26,"292.31","","84.74","","",377.047692307692,7600,"",2203.24,"","",9803.24
"Haryana","","","Rubber Industry","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Rubber Industry","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Rubber Industry","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
"Haryana","","","Rubber Industry","Semi Skilled B","","01.07.2021",26,"322.27","","93.42","","",415.693076923077,8379,"",2429.02,"","",10808.02
"Haryana","","","Rubber Industry","Semi Skilled A","","01.07.2021",26,"306.92","","88.98","","",395.898461538462,7980,"",2313.36,"","",10293.36
"Haryana","","","Rubber Industry","Unskilled","","01.07.2021",26,"292.31","","84.74","","",377.047692307692,7600,"",2203.24,"","",9803.24
"Haryana","","","Rice Mills, Flour Mills or Dal Mills","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Rice Mills, Flour Mills or Dal Mills","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Rice Mills, Flour Mills or Dal Mills","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
"Haryana","","","Rice Mills, Flour Mills or Dal Mills","Semi Skilled B","","01.07.2021",26,"322.27","","93.42","","",415.693076923077,8379,"",2429.02,"","",10808.02
"Haryana","","","Rice Mills, Flour Mills or Dal Mills","Semi Skilled A","","01.07.2021",26,"306.92","","88.98","","",395.898461538462,7980,"",2313.36,"","",10293.36
"Haryana","","","Rice Mills, Flour Mills or Dal Mills","Unskilled","","01.07.2021",26,"292.31","","84.74","","",377.047692307692,7600,"",2203.24,"","",9803.24
"Haryana","","","Readymade Garments Industry","Highly Skilled","","01.07.2021",26,"373.07","","108.15","","",481.217307692308,9699.74,"",2811.91,"","",12511.65
"Haryana","","","Readymade Garments Industry","Skilled B","","01.07.2021",26,"355.30","","103.00","","",458.302307692308,9237.85,"",2678.01,"","",11915.86
"Haryana","","","Readymade Garments Industry","Skilled A","","01.07.2021",26,"338.38","","98.10","","",436.478076923077,8797.95,"",2550.48,"","",11348.43
